Datetime,Apple,Amazon,Google,Meta,Netflix
2025-11-21 14:30:00+00:00,269.8500061035156,216.26499938964844,296.760009765625,585.1199951171875,105.88999938964844
2025-11-21 15:30:00+00:00,270.8999938964844,218.5749969482422,300.3299865722656,587.74267578125,105.23999786376953
2025-11-21 16:30:00+00:00,270.54998779296875,219.63999938964844,296.489990234375,592.97998046875,105.22000122070312
2025-11-21 17:30:00+00:00,270.9800109863281,218.7220001220703,297.2900085449219,591.625,104.94499969482422
2025-11-21 18:30:00+00:00,272.6099853515625,222.0500030517578,302.66009521484375,597.548583984375,105.28600311279297
2025-11-21 19:30:00+00:00,271.3699951171875,220.18499755859375,299.94500732421875,594.0700073242188,104.92500305175781
2025-11-21 20:30:00+00:00,271.489990234375,220.64500427246094,299.6600036621094,594.469970703125,104.3499984741211
2025-11-24 14:30:00+00:00,273.0950012207031,225.8699951171875,316.8794860839844,611.3499755859375,104.33499908447266
2025-11-24 15:30:00+00:00,275.0,224.94900512695312,314.4800109863281,611.6528930664062,104.38500213623047
2025-11-24 16:30:00+00:00,274.8500061035156,224.6199951171875,315.1199951171875,614.239990234375,104.35990142822266
2025-11-24 17:30:00+00:00,276.1199951171875,224.97000122070312,317.3699951171875,613.9400024414062,104.41000366210938
2025-11-24 18:30:00+00:00,276.2195129394531,225.91000366210938,317.3411865234375,614.5800170898438,104.93000030517578
2025-11-24 19:30:00+00:00,276.4750061035156,226.09930419921875,318.0400085449219,615.0050048828125,104.56999969482422
2025-11-24 20:30:00+00:00,275.9800109863281,226.10000610351562,318.3699951171875,613.0349731445312,107.01000213623047
2025-11-25 14:30:00+00:00,278.9049987792969,226.7100067138672,327.32000732421875,626.6950073242188,104.6449966430664
2025-11-25 15:30:00+00:00,277.8299865722656,227.77000427246094,320.67999267578125,626.760009765625,104.4800033569336
2025-11-25 16:30:00+00:00,279.0700988769531,229.25,321.4049987792969,629.1649780273438,104.93000030517578
2025-11-25 17:30:00+00:00,278.760009765625,229.55999755859375,324.2300109863281,630.10498046875,104.70500183105469
2025-11-25 18:30:00+00:00,278.0350036621094,229.8000030517578,323.00799560546875,632.6900024414062,104.44000244140625
2025-11-25 19:30:00+00:00,277.56500244140625,229.49000549316406,321.7001037597656,633.6500244140625,104.49349975585938
2025-11-25 20:30:00+00:00,276.95001220703125,229.60000610351562,323.6499938964844,636.219970703125,104.30999755859375
2025-11-26 14:30:00+00:00,277.80999755859375,230.51499938964844,318.2799987792969,635.4000244140625,106.08999633789062
2025-11-26 15:30:00+00:00,279.0101013183594,231.0841064453125,319.635009765625,637.1900024414062,106.30000305175781
2025-11-26 16:30:00+00:00,279.0790100097656,230.8800048828125,319.0899963378906,636.739990234375,106.61000061035156
2025-11-26 17:30:00+00:00,278.54998779296875,230.7100067138672,319.6300048828125,635.5999755859375,106.45500183105469
2025-11-26 18:30:00+00:00,278.260009765625,229.56500244140625,319.1499938964844,633.9000244140625,106.21009826660156
2025-11-26 19:30:00+00:00,278.0799865722656,229.42999267578125,319.6520080566406,634.2050170898438,105.86499786376953
2025-11-26 20:30:00+00:00,277.4700012207031,229.1199951171875,320.2799987792969,633.5499877929688,106.12000274658203
2025-11-28 14:30:00+00:00,276.260009765625,231.47999572753906,318.0799865722656,641.385009765625,107.44000244140625
2025-11-28 15:30:00+00:00,276.25,231.94000244140625,317.4700012207031,644.4949951171875,107.44000244140625
2025-11-28 16:30:00+00:00,277.04998779296875,232.10450744628906,319.7200012207031,645.2999877929688,107.5250015258789
